,ID IPEDS Race,IPEDS Race,ID Year,Year,Enrollment,University,ID University,Slug University,Location
18,asian,Asian,2020,2020,61,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
19,black,Black or African American,2020,2020,911,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
20,hawaiian,Native Hawaiian or Other Pacific Islanders,2020,2020,3,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
21,hispanic,Hispanic or Latino,2020,2020,236,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
22,multiracial,Two or More Races,2020,2020,206,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
23,native,American Indian or Alaska Native,2020,2020,15,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
24,nonresident,Non-resident Alien,2020,2020,39,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
25,unknown,Unknown,2020,2020,2,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
26,white,White,2020,2020,5644,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
45,asian,Asian,2019,2019,59,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
46,black,Black or African American,2019,2019,918,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
47,hawaiian,Native Hawaiian or Other Pacific Islanders,2019,2019,0,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
48,hispanic,Hispanic or Latino,2019,2019,221,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
49,multiracial,Two or More Races,2019,2019,195,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
50,native,American Indian or Alaska Native,2019,2019,17,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
51,nonresident,Non-resident Alien,2019,2019,66,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
52,unknown,Unknown,2019,2019,3,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
53,white,White,2019,2019,5801,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
72,asian,Asian,2018,2018,51,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
73,black,Black or African American,2018,2018,903,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
74,hawaiian,Native Hawaiian or Other Pacific Islanders,2018,2018,0,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
75,hispanic,Hispanic or Latino,2018,2018,196,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
76,multiracial,Two or More Races,2018,2018,156,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
77,native,American Indian or Alaska Native,2018,2018,25,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
78,nonresident,Non-resident Alien,2018,2018,115,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
79,unknown,Unknown,2018,2018,3,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
80,white,White,2018,2018,5599,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
99,asian,Asian,2017,2017,45,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
100,black,Black or African American,2017,2017,891,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
101,hawaiian,Native Hawaiian or Other Pacific Islanders,2017,2017,0,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
102,hispanic,Hispanic or Latino,2017,2017,186,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
103,multiracial,Two or More Races,2017,2017,138,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
104,native,American Indian or Alaska Native,2017,2017,10,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
105,nonresident,Non-resident Alien,2017,2017,150,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
106,unknown,Unknown,2017,2017,0,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
107,white,White,2017,2017,5352,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
126,asian,Asian,2016,2016,39,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
127,black,Black or African American,2016,2016,895,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
128,hawaiian,Native Hawaiian or Other Pacific Islanders,2016,2016,0,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
129,hispanic,Hispanic or Latino,2016,2016,164,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
130,multiracial,Two or More Races,2016,2016,158,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
131,native,American Indian or Alaska Native,2016,2016,15,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
132,nonresident,Non-resident Alien,2016,2016,185,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
133,unknown,Unknown,2016,2016,0,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
134,white,White,2016,2016,5249,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
153,asian,Asian,2015,2015,41,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
154,black,Black or African American,2015,2015,1009,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
155,hawaiian,Native Hawaiian or Other Pacific Islanders,2015,2015,0,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
156,hispanic,Hispanic or Latino,2015,2015,160,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
157,multiracial,Two or More Races,2015,2015,144,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
158,native,American Indian or Alaska Native,2015,2015,8,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
159,nonresident,Non-resident Alien,2015,2015,184,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
160,unknown,Unknown,2015,2015,0,The University of Tennessee-Martin,221768,the-university-of-tennessee-martin,TN
